"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","719","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","GET /usuarios/{id} - Detalhes específicos","",""
"","401","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","POST /usuarios - Criação de novos usuários","",""
"","300","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","DELETE /usuarios/{id} - Exclusão","",""
"","303","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","PUT /usuarios/{id} - Atualização","",""
"","293","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","DELETE /usuarios/{id} - Exclusão","",""
"","320","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","POST /usuarios - Criação de novos usuários","",""
"","153","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-25","passed","2026-09-25","","GET /usuarios - Listagem de usuários","",""
