"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","failed","2026-07-23","","DELETE /usuarios/{id} - Exclusão","",""
"","80","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","GET /usuarios - Listagem de usuários","",""
"","144","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","PUT /usuarios/{id} - Atualização","",""
"","73","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","POST /usuarios - Criação de novos usuários","",""
"","237","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","POST /usuarios - Criação de novos usuários","",""
"","143","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","DELETE /usuarios/{id} - Exclusão","",""
"","132","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-23","passed","2026-07-23","","GET /usuarios/{id} - Detalhes específicos","",""
