"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","449","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","DELETE /usuarios/{id} - Exclusão","",""
"","273","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","POST /usuarios - Criação de novos usuários","",""
"","267","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","GET /usuarios - Listagem de usuários","",""
"","186","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","POST /usuarios - Criação de novos usuários","",""
"","433","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","DELETE /usuarios/{id} - Exclusão","",""
"","346","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","PUT /usuarios/{id} - Atualização","",""
"","297","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-24","passed","2026-09-24","","GET /usuarios/{id} - Detalhes específicos","",""
