"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","DELETE /usuarios/{id} - Exclusão","",""
"","277","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","PUT /usuarios/{id} - Atualização","",""
"","179","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","GET /usuarios - Listagem de usuários","",""
"","193","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","POST /usuarios - Criação de novos usuários","",""
"","265","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","DELETE /usuarios/{id} - Exclusão","",""
"","101","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","POST /usuarios - Criação de novos usuários","",""
"","248","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-09","passed","2026-08-09","","GET /usuarios/{id} - Detalhes específicos","",""
