"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","DELETE /usuarios/{id} - Exclusão","",""
"","220","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","GET /usuarios/{id} - Detalhes específicos","",""
"","111","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","POST /usuarios - Criação de novos usuários","",""
"","199","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","PUT /usuarios/{id} - Atualização","",""
"","193","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","failed","2026-07-26","","DELETE /usuarios/{id} - Exclusão","",""
"","102","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","GET /usuarios - Listagem de usuários","",""
"","190","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-26","passed","2026-07-26","","POST /usuarios - Criação de novos usuários","",""
