"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","GET /usuarios/{id} - Detalhes específicos","",""
"","146","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","POST /usuarios - Criação de novos usuários","",""
"","77","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","GET /usuarios - Listagem de usuários","",""
"","150","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","PUT /usuarios/{id} - Atualização","",""
"","85","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","POST /usuarios - Criação de novos usuários","",""
"","149","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","failed","2026-07-25","","DELETE /usuarios/{id} - Exclusão","",""
"","148","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-25","passed","2026-07-25","","DELETE /usuarios/{id} - Exclusão","",""
