"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","GET /usuarios - Listagem de usuários","",""
"","142","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","GET /usuarios/{id} - Detalhes específicos","",""
"","69","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","POST /usuarios - Criação de novos usuários","",""
"","141","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","PUT /usuarios/{id} - Atualização","",""
"","151","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","failed","2026-07-31","","DELETE /usuarios/{id} - Exclusão","",""
"","139","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","POST /usuarios - Criação de novos usuários","",""
"","146","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-31","passed","2026-07-31","","DELETE /usuarios/{id} - Exclusão","",""
