"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","DELETE /usuarios/{id} - Exclusão","",""
"","274","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","PUT /usuarios/{id} - Atualização","",""
"","133","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","GET /usuarios - Listagem de usuários","",""
"","232","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","POST /usuarios - Criação de novos usuários","",""
"","245","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","DELETE /usuarios/{id} - Exclusão","",""
"","123","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","POST /usuarios - Criação de novos usuários","",""
"","249","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-27","passed","2026-07-27","","GET /usuarios/{id} - Detalhes específicos","",""
