"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","395","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","DELETE /usuarios/{id} - Exclusão","",""
"","375","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","failed","2026-09-23","","DELETE /usuarios/{id} - Exclusão","",""
"","270","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","POST /usuarios - Criação de novos usuários","",""
"","304","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","GET /usuarios/{id} - Detalhes específicos","",""
"","1407","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","GET /usuarios - Listagem de usuários","",""
"","275","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","PUT /usuarios/{id} - Atualização","",""
"","96","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-23","passed","2026-09-23","","POST /usuarios - Criação de novos usuários","",""
