"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","229","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","DELETE /usuarios/{id} - Exclusão","",""
"","127","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","GET /usuarios - Listagem de usuários","",""
"","160","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","POST /usuarios - Criação de novos usuários","",""
"","82","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","POST /usuarios - Criação de novos usuários","",""
"","210","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","PUT /usuarios/{id} - Atualização","",""
"","196","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","GET /usuarios/{id} - Detalhes específicos","",""
"","206","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-25","passed","2026-08-25","","DELETE /usuarios/{id} - Exclusão","",""
