"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","GET /usuarios - Listagem de usuários","",""
"","217","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","GET /usuarios/{id} - Detalhes específicos","",""
"","193","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","POST /usuarios - Criação de novos usuários","",""
"","201","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","DELETE /usuarios/{id} - Exclusão","",""
"","207","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","PUT /usuarios/{id} - Atualização","",""
"","113","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","passed","2026-09-20","","POST /usuarios - Criação de novos usuários","",""
"","203","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-09-20","failed","2026-09-20","","DELETE /usuarios/{id} - Exclusão","",""
