"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","DELETE /usuarios/{id} - Exclusão","",""
"","200","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","POST /usuarios - Criação de novos usuários","",""
"","328","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","PUT /usuarios/{id} - Atualização","",""
"","304","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","DELETE /usuarios/{id} - Exclusão","",""
"","111","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","POST /usuarios - Criação de novos usuários","",""
"","293","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","GET /usuarios/{id} - Detalhes específicos","",""
"","231","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-13","passed","2026-08-13","","GET /usuarios - Listagem de usuários","",""
