"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","GET /usuarios - Listagem de usuários","",""
"","139","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","GET /usuarios/{id} - Detalhes específicos","",""
"","78","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","POST /usuarios - Criação de novos usuários","",""
"","124","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","POST /usuarios - Criação de novos usuários","",""
"","112","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","DELETE /usuarios/{id} - Exclusão","",""
"","207","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","DELETE /usuarios/{id} - Exclusão","",""
"","165","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-07-30","passed","2026-07-30","","PUT /usuarios/{id} - Atualização","",""
