"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","DELETE /usuarios/{id} - Exclusão","",""
"","73","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","POST /usuarios - Criação de novos usuários","",""
"","121","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","GET /usuarios - Listagem de usuários","",""
"","203","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","GET /usuarios/{id} - Detalhes específicos","",""
"","174","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","DELETE /usuarios/{id} - Exclusão","",""
"","196","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","PUT /usuarios/{id} - Atualização","",""
"","135","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-24","passed","2026-08-24","","POST /usuarios - Criação de novos usuários","",""
