"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","DELETE /usuarios/{id} - Exclusão","",""
"","241","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","DELETE /usuarios/{id} - Exclusão","",""
"","189","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","POST /usuarios - Criação de novos usuários","",""
"","106","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","POST /usuarios - Criação de novos usuários","",""
"","134","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","GET /usuarios - Listagem de usuários","",""
"","247","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","GET /usuarios/{id} - Detalhes específicos","",""
"","261","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-28","passed","2026-08-28","","PUT /usuarios/{id} - Atualização","",""
